aileron,elevator,rudder,flaps,slats,speedbrake,throttle,engine-pump0,engine-pump1,electric-pump0,electric-pump1,external-power,APU-generator,latitude-deg,longitude-deg,altitude-ft,roll-deg,pitch-deg,heading-deg,side-slip-deg,airspeed-kt,glideslope,vertical-speed-fps,airspeed-indicator_indicated-speed-kt,altimeter_indicated-altitude-ft,altimeter_pressure-alt-ft,attitude-indicator_indicated-pitch-deg,attitude-indicator_indicated-roll-deg,attitude-indicator_internal-pitch-deg,attitude-indicator_internal-roll-deg,encoder_indicated-altitude-ft,encoder_pressure-alt-ft,gps_indicated-altitude-ft,gps_indicated-ground-speed-kt,gps_indicated-vertical-speed,indicated-heading-offset-deg,indicated-heading-deg,magnetic-compass_indicated-heading-deg,slip-skid-ball_indicated-slip-skid,turn-indicator_indicated-turn-rate,vertical-speed-indicator_indicated-speed-fpm,engine_rpm
0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0420912E7,6.0420912E7,6.0420928E7,6.0420928E7,6.0420976E7,6.0421008E7,63.985043,-22.592484,-9999.0,0.0,0.424,270.02136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.876752,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0420912E7,6.0420912E7,6.0420928E7,6.0420928E7,6.0420976E7,6.0421008E7,63.985043,-22.592484,-9999.0,0.0,0.424,270.02136,0.0,0.0,0.0,0.0,0.0,389.08878,1.193444,12.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.876752,282.89813,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0420912E7,6.0420912E7,6.0420928E7,6.0420928E7,6.0420976E7,6.0421008E7,63.991837,-22.605425,-9999.0,0.0,0.424,180.01839,0.0,0.0,0.0,0.0,0.0,389.08878,1.193444,12.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.876752,282.89813,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0420912E7,6.0420912E7,6.0420928E7,6.0420928E7,6.0420976E7,6.0421008E7,63.991837,-22.605425,-9999.0,0.0,0.424,180.01839,0.0,0.0,0.0,0.0,0.0,389.08878,1.193444,12.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.876752,282.89813,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0420912E7,6.0420912E7,6.0420928E7,6.0420928E7,6.0420976E7,6.0421008E7,63.991837,-22.605425,-9999.0,0.0,0.424,180.01839,0.0,0.0,0.0,0.0,0.0,389.08878,1.193444,12.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.876752,282.89813,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0420912E7,6.0420912E7,6.0420928E7,6.0420928E7,6.0420976E7,6.0421008E7,63.991837,-22.605425,-9999.0,0.0,0.424,180.01839,0.0,0.0,0.0,0.0,0.0,389.08878,1.193444,12.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.876752,282.89813,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0420912E7,6.0420912E7,6.0420928E7,6.0420928E7,6.0420976E7,6.0421008E7,63.991837,-22.605425,-9999.0,0.0,0.424,180.01839,0.0,0.0,0.0,0.0,0.0,389.08878,1.193444,12.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.876752,282.89813,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0420912E7,6.0420912E7,6.0420928E7,6.0420928E7,6.0420976E7,6.0421008E7,63.991837,-22.605425,-9999.0,0.0,0.424,180.01839,0.0,0.0,0.0,0.0,0.0,389.08878,1.193444,12.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.876752,282.89813,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0420912E7,6.0420912E7,6.0420928E7,6.0420928E7,6.0420976E7,6.0421008E7,63.991837,-22.605425,-9999.0,0.0,0.424,180.01839,0.0,0.0,0.0,0.0,0.0,389.08878,1.193444,12.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.876752,282.89813,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0420912E7,6.0420912E7,6.0420928E7,6.0420928E7,6.0420976E7,6.0421008E7,63.991837,-22.605425,-9999.0,0.0,0.424,180.01839,0.0,0.0,0.0,0.0,0.0,389.08878,1.193444,12.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.876752,282.89813,0.0,0.0,0.0,0.0,0.0
